2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
7967		C3PO		PosReport C3PO_ghost 1697.9959716796875 1078.11181640625 0.4061262011528015
8068		C3PO		PosReport C3PO_ghost 1725.9266357421875 1090.1229248046875 0.4061262011528015
8170		C3PO		PosReport C3PO_ghost 1753.8558349609375 1102.1334228515625 0.4061262011528015
8271		C3PO		PosReport C3PO_ghost 1781.91357421875 1114.19921875 0.4061262011528015
8373		C3PO		PosReport C3PO_ghost 1809.91015625 1126.2386474609375 0.4061262011528015
8475		C3PO		PosReport C3PO_ghost 1837.95849609375 1138.3004150390625 0.4061262011528015
8576		C3PO		PosReport C3PO_ghost 1865.9810791015625 1150.35107421875 0.4061262011528015
8678		C3PO		PosReport C3PO_ghost 1894.0469970703125 1162.4202880859375 0.4061262011528015
8780		C3PO		PosReport C3PO_ghost 1922.077880859375 1174.4744873046875 0.4061262011528015
8882		C3PO		PosReport C3PO_ghost 1950.1251220703125 1186.5357666015625 0.4061262011528015
8984		C3PO		PosReport C3PO_ghost 1978.1807861328125 1198.6005859375 0.4061262011528015
9085		C3PO		PosReport C3PO_ghost 2006.1248779296875 1210.956787109375 0.44689980149269104
9187		C3PO		PosReport C3PO_ghost 2033.7039794921875 1224.173828125 0.44689980149269104
9289		C3PO		PosReport C3PO_ghost 2061.2294921875 1237.364990234375 0.44689980149269104
9391		C3PO		PosReport C3PO_ghost 2088.787841796875 1250.5718994140625 0.44689980149269104
9493		C3PO		PosReport C3PO_ghost 2116.314208984375 1263.763671875 0.44689980149269104
9594		C3PO		PosReport C3PO_ghost 2143.815673828125 1276.943359375 0.44689980149269104
9695		C3PO		PosReport C3PO_ghost 2171.156982421875 1290.04638671875 0.44689980149269104
9797		C3PO		PosReport C3PO_ghost 2198.542236328125 1303.1702880859375 0.44689980149269104
9898		C3PO		PosReport C3PO_ghost 2225.78076171875 1316.5654296875 0.4874206483364105
9938		C3PO		ActuatorReport C3PO_ghost LED0 1
9999		C3PO		PosReport C3PO_ghost 2252.577880859375 1330.77001953125 0.4874206483364105
10100		C3PO		PosReport C3PO_ghost 2279.510498046875 1345.04638671875 0.4874206483364105
10202		C3PO		PosReport C3PO_ghost 2306.388916015625 1359.294189453125 0.4874206483364105
10304		C3PO		PosReport C3PO_ghost 2333.2275390625 1373.8753662109375 0.528298556804657
10405		C3PO		PosReport C3PO_ghost 2359.52294921875 1389.2222900390625 0.528298556804657
10507		C3PO		PosReport C3PO_ghost 2385.859619140625 1404.59326171875 0.528298556804657
10609		C3PO		PosReport C3PO_ghost 2412.04638671875 1420.2362060546875 0.5689939260482788
10710		C3PO		PosReport C3PO_ghost 2437.6943359375 1436.6392822265625 0.5689939260482788
10812		C3PO		PosReport C3PO_ghost 2462.865234375 1453.8377685546875 0.6094943881034851
10913		C3PO		PosReport C3PO_ghost 2487.1044921875 1472.2685546875 0.6907127499580383
11015		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11116		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11218		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11321		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11424		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11526		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11629		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11732		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11835		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11938		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
11948		C3PO		ActuatorReport C3PO_ghost LED0 0
12041		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12143		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12246		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12349		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12453		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12555		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12558		Interface		ActuatorCmd C3PO_ghost LED0 1
12657		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12760		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12862		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
12955		C3PO		ActuatorReport C3PO_ghost LED0 1
12965		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13068		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13171		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13273		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13375		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13455		Interface		ActuatorCmd C3PO_ghost LED1 1
13478		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13580		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13682		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13785		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13889		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
13960		C3PO		ActuatorReport C3PO_ghost LED1 1
13991		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14093		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14196		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14299		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14401		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14503		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14605		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14708		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14811		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14823		Interface		ActuatorCmd C3PO_ghost EV2 1
14913		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
14965		C3PO		ActuatorReport C3PO_ghost EV2 1
15016		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15119		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15222		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15325		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15428		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15530		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15633		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15703		Interface		ActuatorCmd C3PO_ghost EV2 0
15735		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15838		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15941		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
15972		C3PO		ActuatorReport C3PO_ghost EV2 0
16043		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16146		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16249		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16352		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16367		Interface		ActuatorCmd C3PO_ghost LED1 0
16455		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16557		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16659		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16762		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16865		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16967		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
16978		C3PO		ActuatorReport C3PO_ghost LED1 0
17015		Interface		ActuatorCmd C3PO_ghost LED0 0
17070		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17172		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17275		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17377		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17480		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17583		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17686		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17788		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17891		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
17983		C3PO		ActuatorReport C3PO_ghost LED0 0
17994		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18096		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18199		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18301		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18403		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18505		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18608		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18710		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18813		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
18915		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19018		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19120		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19222		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19325		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19427		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19528		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
19630		C3PO		PosReport C3PO_ghost 2509.7587890625 1492.595458984375 0.771894097328186
