2021/01/23	12:55:07.142

Temps (ms)	Expediteur			Message
23167		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23168		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23192		C3PO		PosReport C3PO_ghost 1946.9599609375 1450.560302734375 3.2161436080932617
23256		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23256		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23256		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23256		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23287		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23287		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23294		C3PO		PosReport C3PO_ghost 1916.539794921875 1448.2882080078125 3.2161436080932617
23327		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23327		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23368		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23368		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23395		C3PO		PosReport C3PO_ghost 1901.3642578125 1447.15478515625 3.2161436080932617
23448		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23448		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23454		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23454		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23493		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23493		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23496		C3PO		PosReport C3PO_ghost 1871.0048828125 1444.88720703125 3.2161436080932617
23538		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23538		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23574		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23574		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23598		C3PO		PosReport C3PO_ghost 1840.6500244140625 1442.6201171875 3.2161436080932617
23636		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23636		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23655		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23655		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23696		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23696		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23699		C3PO		PosReport C3PO_ghost 1825.4697265625 1441.486328125 3.2161436080932617
23740		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23740		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23777		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23777		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23800		C3PO		PosReport C3PO_ghost 1795.2261962890625 1439.2274169921875 3.2161436080932617
23838		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23839		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23857		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23857		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23898		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23898		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23902		C3PO		PosReport C3PO_ghost 1764.960693359375 1436.9669189453125 3.2161436080932617
23939		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23939		Interface		SpeedCmd C3PO_ghost 1 0 0.0
23978		Interface		SpeedCmd C3PO_ghost 0 0 0.0
23978		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24003		C3PO		PosReport C3PO_ghost 1749.7474365234375 1435.83056640625 3.2161436080932617
24033		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24033		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24058		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24059		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24098		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24098		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24105		C3PO		PosReport C3PO_ghost 1719.3458251953125 1433.5599365234375 3.2161436080932617
24161		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24161		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24178		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24178		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24206		C3PO		PosReport C3PO_ghost 1688.9146728515625 1431.2869873046875 3.2161436080932617
24234		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24234		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24259		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24259		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24299		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24299		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24308		C3PO		PosReport C3PO_ghost 1673.6668701171875 1430.148193359375 3.2161436080932617
24364		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24364		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24379		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24379		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24410		C3PO		PosReport C3PO_ghost 1643.2852783203125 1427.8790283203125 3.2161436080932617
24443		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24443		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24460		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24460		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24501		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24501		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24511		C3PO		PosReport C3PO_ghost 1612.9207763671875 1425.611083984375 3.2161436080932617
24571		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24571		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24581		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24581		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24612		C3PO		PosReport C3PO_ghost 1582.5867919921875 1423.345458984375 3.2161436080932617
24647		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24647		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24661		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24661		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24701		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24702		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24714		C3PO		PosReport C3PO_ghost 1552.1875 1421.074951171875 3.2161436080932617
24772		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24772		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24781		Interface		SpeedCmd C3PO_ghost 0 0 0.0
24781		Interface		SpeedCmd C3PO_ghost 1 0 0.0
24808		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
24816		C3PO		PosReport C3PO_ghost 1521.8614501953125 1418.0340576171875 3.317735195159912
24918		C3PO		PosReport C3PO_ghost 1492.4759521484375 1409.6431884765625 3.5217342376708984
25019		C3PO		PosReport C3PO_ghost 1465.49267578125 1395.5345458984375 3.7249908447265625
25019		C3PO		ActuatorReport C3PO_ghost LED1 0
25122		C3PO		PosReport C3PO_ghost 1441.8031005859375 1376.1595458984375 3.9292821884155273
25223		C3PO		PosReport C3PO_ghost 1422.653564453125 1352.5596923828125 4.13215446472168
25324		C3PO		PosReport C3PO_ghost 1408.6949462890625 1325.6944580078125 4.334246635437012
25409		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25409		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25426		C3PO		PosReport C3PO_ghost 1399.6356201171875 1296.6365966796875 4.4353532791137695
25474		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25474		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25488		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25488		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25527		C3PO		PosReport C3PO_ghost 1394.319091796875 1266.6158447265625 4.638869285583496
25572		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25572		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25572		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25572		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25609		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25609		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25629		C3PO		PosReport C3PO_ghost 1395.1724853515625 1236.1973876953125 4.842000961303711
25660		Interface		SpeedCmd C3PO_ghost 1 0 0.0
25731		C3PO		PosReport C3PO_ghost 1399.132080078125 1205.8184814453125 4.842000961303711
25798		Interface		SpeedCmd C3PO_ghost 1 0 2.0000000002611458
25833		C3PO		PosReport C3PO_ghost 1403.83837890625 1175.6776123046875 4.943419933319092
25935		C3PO		PosReport C3PO_ghost 1413.8424072265625 1146.7672119140625 5.147635459899902
26026		C3PO		ActuatorReport C3PO_ghost LED0 1
26037		C3PO		PosReport C3PO_ghost 1429.4715576171875 1120.526611328125 5.351516246795654
26123		Interface		SpeedCmd C3PO_ghost 1 0 0.0
26139		C3PO		PosReport C3PO_ghost 1449.482421875 1097.497802734375 5.4531755447387695
26240		C3PO		PosReport C3PO_ghost 1470.0614013671875 1074.9954833984375 5.4531755447387695
26342		C3PO		PosReport C3PO_ghost 1490.6097412109375 1052.5269775390625 5.4531755447387695
26444		C3PO		PosReport C3PO_ghost 1511.2540283203125 1029.9532470703125 5.4531755447387695
26545		C3PO		PosReport C3PO_ghost 1531.82275390625 1007.46240234375 5.4531755447387695
26647		C3PO		PosReport C3PO_ghost 1552.4598388671875 984.896728515625 5.4531755447387695
26710		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
26748		C3PO		PosReport C3PO_ghost 1572.4234619140625 961.9347534179688 5.352201461791992
26850		C3PO		PosReport C3PO_ghost 1588.06494140625 935.7169799804688 5.148409366607666
26952		C3PO		PosReport C3PO_ghost 1598.0545654296875 906.9700317382812 4.9452595710754395
27054		C3PO		PosReport C3PO_ghost 1602.0433349609375 876.6428833007812 4.7410712242126465
27156		C3PO		PosReport C3PO_ghost 1599.8189697265625 846.2447509765625 4.537611961364746
27258		C3PO		PosReport C3PO_ghost 1591.4754638671875 816.8659057617188 4.333743095397949
27321		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27321		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27337		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27337		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27359		C3PO		PosReport C3PO_ghost 1578.1246337890625 789.5596313476562 4.232207775115967
27389		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27389		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27417		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27417		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27457		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27458		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27461		C3PO		PosReport C3PO_ghost 1561.3494873046875 764.0684814453125 4.028506278991699
27498		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27498		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27538		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27538		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27562		C3PO		PosReport C3PO_ghost 1539.8701171875 742.5840454101562 3.825712203979492
27626		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27626		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27626		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27626		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27658		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27658		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27664		C3PO		PosReport C3PO_ghost 1514.408203125 725.8160400390625 3.6222004890441895
27698		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27698		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27739		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27739		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27766		C3PO		PosReport C3PO_ghost 1487.0592041015625 712.4277954101562 3.520697593688965
27797		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27797		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27820		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27820		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27860		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27860		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27868		C3PO		PosReport C3PO_ghost 1457.69287109375 704.0723266601562 3.3168869018554688
27900		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27900		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27941		Interface		SpeedCmd C3PO_ghost 1 0 0.0
27941		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
27969		C3PO		PosReport C3PO_ghost 1427.35693359375 701.8304443359375 3.1138343811035156
28035		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28035		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28035		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28035		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28040		C3PO		ActuatorReport C3PO_ghost LED1 0
28061		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28062		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28071		C3PO		PosReport C3PO_ghost 1397.0594482421875 705.7833862304688 2.9098739624023438
28104		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28104		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28141		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28141		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28172		C3PO		PosReport C3PO_ghost 1368.3428955078125 715.7203369140625 2.7070322036743164
28227		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28227		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28227		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28227		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28261		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28262		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28274		C3PO		PosReport C3PO_ghost 1342.2496337890625 731.2145385742188 2.504459857940674
28302		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28303		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28341		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28341		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28375		C3PO		PosReport C3PO_ghost 1319.763427734375 751.6903076171875 2.301452159881592
28434		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28434		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28434		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28434		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28461		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28461		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28477		C3PO		PosReport C3PO_ghost 1301.8472900390625 776.313232421875 2.09818172454834
28510		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28510		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28541		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28541		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28579		C3PO		PosReport C3PO_ghost 1289.2728271484375 804.040283203125 1.8949519395828247
28637		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28638		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28638		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28638		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28663		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28663		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28680		C3PO		PosReport C3PO_ghost 1282.5499267578125 833.7625732421875 1.6915346384048462
28719		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28719		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28744		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28744		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28782		C3PO		PosReport C3PO_ghost 1279.64892578125 864.0858154296875 1.5900293588638306
28830		Interface		SpeedCmd C3PO_ghost 1 0 0.0
28830		Interface		SpeedCmd C3PO_ghost 1 0 -2.0000000002611458
28830		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
28830		Interface		SpeedCmd C3PO_ghost 0 0 0.0
28830		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
28864		Interface		SpeedCmd C3PO_ghost 0 0 0.0
28865		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
28883		C3PO		PosReport C3PO_ghost 1279.64892578125 864.0858154296875 1.3866835832595825
28925		Interface		SpeedCmd C3PO_ghost 0 0 0.0
28925		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
28945		Interface		SpeedCmd C3PO_ghost 0 0 0.0
28946		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
28985		C3PO		PosReport C3PO_ghost 1279.64892578125 864.0858154296875 1.1836329698562622
29015		Interface		SpeedCmd C3PO_ghost 0 0 0.0
29015		Interface		SpeedCmd C3PO_ghost 0 0 -2.0000000002611458
29015		Interface		SpeedCmd C3PO_ghost 0 0 0.0
29046		C3PO		ActuatorReport C3PO_ghost LED0 0
29087		C3PO		PosReport C3PO_ghost 1279.64892578125 864.0858154296875 1.1836329698562622
29155		Interface		SpeedCmd C3PO_ghost -1 0 0.0
29189		C3PO		PosReport C3PO_ghost 1273.88525390625 849.9502563476562 1.1836329698562622
29291		C3PO		PosReport C3PO_ghost 1262.3551025390625 821.6721801757812 1.1836329698562622
29392		C3PO		PosReport C3PO_ghost 1250.874755859375 793.5162963867188 1.1836329698562622
29494		C3PO		PosReport C3PO_ghost 1239.3443603515625 765.2377319335938 1.1836329698562622
29595		C3PO		PosReport C3PO_ghost 1227.8388671875 737.0203857421875 1.1836329698562622
29686		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
29697		C3PO		PosReport C3PO_ghost 1215.6085205078125 709.0814819335938 1.0818673372268677
29799		C3PO		PosReport C3PO_ghost 1198.6343994140625 683.7661743164062 0.8784090280532837
29901		C3PO		PosReport C3PO_ghost 1176.834716796875 662.3544311523438 0.6744352579116821
30003		C3PO		PosReport C3PO_ghost 1151.2137451171875 645.8348388671875 0.4709387719631195
30104		C3PO		PosReport C3PO_ghost 1122.8192138671875 634.843994140625 0.2676931321620941
30206		C3PO		PosReport C3PO_ghost 1092.7977294921875 629.8112182617188 0.06449518352746964
30286		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30286		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30308		C3PO		PosReport C3PO_ghost 1062.305419921875 630.1676635742188 -0.03703346103429794
30372		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30372		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30373		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30373		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30406		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30406		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30409		C3PO		PosReport C3PO_ghost 1032.2032470703125 634.3629150390625 -0.23991575837135315
30446		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30446		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30486		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30487		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30511		C3PO		PosReport C3PO_ghost 1003.4640502929688 644.5847778320312 -0.44353190064430237
30574		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30574		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30574		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30574		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30606		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30606		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30612		C3PO		PosReport C3PO_ghost 977.42138671875 660.3798828125 -0.646849513053894
30647		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30647		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30686		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30686		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30715		C3PO		PosReport C3PO_ghost 953.4771728515625 679.4500122070312 -0.7493189573287964
30747		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30747		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30767		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30767		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30807		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30808		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30816		C3PO		PosReport C3PO_ghost 933.4112548828125 702.333251953125 -0.9524801969528198
30866		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30866		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30887		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30887		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30918		C3PO		PosReport C3PO_ghost 918.3626098632812 728.8226928710938 -1.1558469533920288
30964		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30964		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
30970		Interface		SpeedCmd C3PO_ghost -1 0 0.0
30970		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31010		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31010		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31019		C3PO		PosReport C3PO_ghost 906.819091796875 756.941650390625 -1.2573307752609253
31057		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31057		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31091		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31091		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31121		C3PO		PosReport C3PO_ghost 900.406005859375 786.8096313476562 -1.4612540006637573
31187		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31187		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31187		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31187		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31212		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31213		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31223		C3PO		PosReport C3PO_ghost 900.1676025390625 817.285400390625 -1.664695143699646
31255		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31255		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31292		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31292		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31324		C3PO		PosReport C3PO_ghost 903.7968139648438 847.5289306640625 -1.7665351629257202
31387		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31387		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31387		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31387		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31413		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31413		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31426		C3PO		PosReport C3PO_ghost 912.7130737304688 876.6288452148438 -1.9696987867355347
31456		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31456		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31493		Interface		SpeedCmd C3PO_ghost -1 0 0.0
31493		Interface		SpeedCmd C3PO_ghost -1 0 -2.0000000002611458
31505		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31528		C3PO		PosReport C3PO_ghost 935.3519897460938 916.3922729492188 -2.173130512237549
31593		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31593		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31593		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31593		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31613		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31613		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31629		C3PO		PosReport C3PO_ghost 973.580810546875 963.8033447265625 -2.274867534637451
31657		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31658		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31694		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31694		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31731		C3PO		PosReport C3PO_ghost 1017.6432495117188 1006.0878295898438 -2.478696823120117
31796		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31796		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31796		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31796		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31815		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31815		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31833		C3PO		PosReport C3PO_ghost 1069.1385498046875 1038.4718017578125 -2.681730270385742
31866		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31866		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31895		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31895		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31934		C3PO		PosReport C3PO_ghost 1126.2823486328125 1059.853271484375 -2.8853707313537598
31993		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31993		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
31993		Interface		SpeedCmd C3PO_ghost -2 0 0.0
31993		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32016		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32016		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32036		C3PO		PosReport C3PO_ghost 1186.4088134765625 1069.2279052734375 -3.0884757041931152
32074		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32074		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32096		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32096		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32137		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32137		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32137		C3PO		PosReport C3PO_ghost 1247.181640625 1066.2828369140625 -3.291551113128662
32190		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32191		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32217		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32217		Interface		SpeedCmd C3PO_ghost -2 0 -2.0000000002611458
32239		C3PO		PosReport C3PO_ghost 1305.9747314453125 1051.1920166015625 -3.494140625
32282		Interface		SpeedCmd C3PO_ghost -2 0 0.0
32340		C3PO		PosReport C3PO_ghost 1363.09619140625 1030.176025390625 -3.494140625
32442		C3PO		PosReport C3PO_ghost 1420.2081298828125 1009.1634521484375 -3.494140625
