2021/01/23	12:55:07.142

Temps (ms)	Commande
23482		SpeedCmd C3PO 0 0 0.0
23482		SpeedCmd C3PO 1 0 0.0
23527		SpeedCmd C3PO 0 0 0.0
23527		SpeedCmd C3PO 1 0 0.0
23562		SpeedCmd C3PO 0 0 0.0
23562		SpeedCmd C3PO 1 0 0.0
23624		SpeedCmd C3PO 0 0 0.0
23624		SpeedCmd C3PO 1 0 0.0
23644		SpeedCmd C3PO 0 0 0.0
23644		SpeedCmd C3PO 1 0 0.0
23684		SpeedCmd C3PO 0 0 0.0
23684		SpeedCmd C3PO 1 0 0.0
23729		SpeedCmd C3PO 0 0 0.0
23729		SpeedCmd C3PO 1 0 0.0
23765		SpeedCmd C3PO 0 0 0.0
23765		SpeedCmd C3PO 1 0 0.0
23827		SpeedCmd C3PO 0 0 0.0
23827		SpeedCmd C3PO 1 0 0.0
23846		SpeedCmd C3PO 0 0 0.0
23846		SpeedCmd C3PO 1 0 0.0
23886		SpeedCmd C3PO 0 0 0.0
23886		SpeedCmd C3PO 1 0 0.0
23927		SpeedCmd C3PO 0 0 0.0
23927		SpeedCmd C3PO 1 0 0.0
23967		SpeedCmd C3PO 0 0 0.0
23967		SpeedCmd C3PO 1 0 0.0
24022		SpeedCmd C3PO 0 0 0.0
24022		SpeedCmd C3PO 1 0 0.0
24047		SpeedCmd C3PO 0 0 0.0
24047		SpeedCmd C3PO 1 0 0.0
24087		SpeedCmd C3PO 0 0 0.0
24087		SpeedCmd C3PO 1 0 0.0
24150		SpeedCmd C3PO 0 0 0.0
24150		SpeedCmd C3PO 1 0 0.0
24167		SpeedCmd C3PO 0 0 0.0
24167		SpeedCmd C3PO 1 0 0.0
24223		SpeedCmd C3PO 0 0 0.0
24223		SpeedCmd C3PO 1 0 0.0
24247		SpeedCmd C3PO 0 0 0.0
24247		SpeedCmd C3PO 1 0 0.0
24288		SpeedCmd C3PO 0 0 0.0
24288		SpeedCmd C3PO 1 0 0.0
24353		SpeedCmd C3PO 0 0 0.0
24353		SpeedCmd C3PO 1 0 0.0
24367		SpeedCmd C3PO 0 0 0.0
24367		SpeedCmd C3PO 1 0 0.0
24431		SpeedCmd C3PO 0 0 0.0
24431		SpeedCmd C3PO 1 0 0.0
24449		SpeedCmd C3PO 0 0 0.0
24449		SpeedCmd C3PO 1 0 0.0
24489		SpeedCmd C3PO 0 0 0.0
24490		SpeedCmd C3PO 1 0 0.0
24560		SpeedCmd C3PO 0 0 0.0
24560		SpeedCmd C3PO 1 0 0.0
24569		SpeedCmd C3PO 0 0 0.0
24570		SpeedCmd C3PO 1 0 0.0
24636		SpeedCmd C3PO 0 0 0.0
24636		SpeedCmd C3PO 1 0 0.0
24649		SpeedCmd C3PO 0 0 0.0
24650		SpeedCmd C3PO 1 0 0.0
24690		SpeedCmd C3PO 0 0 0.0
24690		SpeedCmd C3PO 1 0 0.0
24761		SpeedCmd C3PO 0 0 0.0
24761		SpeedCmd C3PO 1 0 0.0
24770		SpeedCmd C3PO 0 0 0.0
24770		SpeedCmd C3PO 1 0 0.0
24796		SpeedCmd C3PO 1 0 2.0000000002611458
25397		SpeedCmd C3PO 1 0 0.0
25398		SpeedCmd C3PO 1 0 2.0000000002611458
25463		SpeedCmd C3PO 1 0 0.0
25463		SpeedCmd C3PO 1 0 2.0000000002611458
25477		SpeedCmd C3PO 1 0 0.0
25477		SpeedCmd C3PO 1 0 2.0000000002611458
25561		SpeedCmd C3PO 1 0 0.0
25561		SpeedCmd C3PO 1 0 2.0000000002611458
25561		SpeedCmd C3PO 1 0 0.0
25561		SpeedCmd C3PO 1 0 2.0000000002611458
25598		SpeedCmd C3PO 1 0 0.0
25598		SpeedCmd C3PO 1 0 2.0000000002611458
25649		SpeedCmd C3PO 1 0 0.0
25787		SpeedCmd C3PO 1 0 2.0000000002611458
26112		SpeedCmd C3PO 1 0 0.0
26699		SpeedCmd C3PO 1 0 -2.0000000002611458
27310		SpeedCmd C3PO 1 0 0.0
27310		SpeedCmd C3PO 1 0 -2.0000000002611458
27325		SpeedCmd C3PO 1 0 0.0
27326		SpeedCmd C3PO 1 0 -2.0000000002611458
27378		SpeedCmd C3PO 1 0 0.0
27378		SpeedCmd C3PO 1 0 -2.0000000002611458
27405		SpeedCmd C3PO 1 0 0.0
27406		SpeedCmd C3PO 1 0 -2.0000000002611458
27446		SpeedCmd C3PO 1 0 0.0
27446		SpeedCmd C3PO 1 0 -2.0000000002611458
27487		SpeedCmd C3PO 1 0 0.0
27487		SpeedCmd C3PO 1 0 -2.0000000002611458
27527		SpeedCmd C3PO 1 0 0.0
27527		SpeedCmd C3PO 1 0 -2.0000000002611458
27615		SpeedCmd C3PO 1 0 0.0
27615		SpeedCmd C3PO 1 0 -2.0000000002611458
27615		SpeedCmd C3PO 1 0 0.0
27615		SpeedCmd C3PO 1 0 -2.0000000002611458
27646		SpeedCmd C3PO 1 0 0.0
27647		SpeedCmd C3PO 1 0 -2.0000000002611458
27687		SpeedCmd C3PO 1 0 0.0
27687		SpeedCmd C3PO 1 0 -2.0000000002611458
27727		SpeedCmd C3PO 1 0 0.0
27727		SpeedCmd C3PO 1 0 -2.0000000002611458
27786		SpeedCmd C3PO 1 0 0.0
27786		SpeedCmd C3PO 1 0 -2.0000000002611458
27808		SpeedCmd C3PO 1 0 0.0
27808		SpeedCmd C3PO 1 0 -2.0000000002611458
27849		SpeedCmd C3PO 1 0 0.0
27849		SpeedCmd C3PO 1 0 -2.0000000002611458
27889		SpeedCmd C3PO 1 0 0.0
27889		SpeedCmd C3PO 1 0 -2.0000000002611458
27929		SpeedCmd C3PO 1 0 0.0
27929		SpeedCmd C3PO 1 0 -2.0000000002611458
28023		SpeedCmd C3PO 1 0 0.0
28023		SpeedCmd C3PO 1 0 -2.0000000002611458
28023		SpeedCmd C3PO 1 0 0.0
28024		SpeedCmd C3PO 1 0 -2.0000000002611458
28050		SpeedCmd C3PO 1 0 0.0
28050		SpeedCmd C3PO 1 0 -2.0000000002611458
28092		SpeedCmd C3PO 1 0 0.0
28092		SpeedCmd C3PO 1 0 -2.0000000002611458
28130		SpeedCmd C3PO 1 0 0.0
28130		SpeedCmd C3PO 1 0 -2.0000000002611458
28216		SpeedCmd C3PO 1 0 0.0
28216		SpeedCmd C3PO 1 0 -2.0000000002611458
28216		SpeedCmd C3PO 1 0 0.0
28216		SpeedCmd C3PO 1 0 -2.0000000002611458
28250		SpeedCmd C3PO 1 0 0.0
28250		SpeedCmd C3PO 1 0 -2.0000000002611458
28291		SpeedCmd C3PO 1 0 0.0
28291		SpeedCmd C3PO 1 0 -2.0000000002611458
28330		SpeedCmd C3PO 1 0 0.0
28330		SpeedCmd C3PO 1 0 -2.0000000002611458
28422		SpeedCmd C3PO 1 0 0.0
28422		SpeedCmd C3PO 1 0 -2.0000000002611458
28423		SpeedCmd C3PO 1 0 0.0
28423		SpeedCmd C3PO 1 0 -2.0000000002611458
28450		SpeedCmd C3PO 1 0 0.0
28450		SpeedCmd C3PO 1 0 -2.0000000002611458
28499		SpeedCmd C3PO 1 0 0.0
28499		SpeedCmd C3PO 1 0 -2.0000000002611458
28530		SpeedCmd C3PO 1 0 0.0
28530		SpeedCmd C3PO 1 0 -2.0000000002611458
28626		SpeedCmd C3PO 1 0 0.0
28626		SpeedCmd C3PO 1 0 -2.0000000002611458
28626		SpeedCmd C3PO 1 0 0.0
28626		SpeedCmd C3PO 1 0 -2.0000000002611458
28651		SpeedCmd C3PO 1 0 0.0
28652		SpeedCmd C3PO 1 0 -2.0000000002611458
28708		SpeedCmd C3PO 1 0 0.0
28708		SpeedCmd C3PO 1 0 -2.0000000002611458
28732		SpeedCmd C3PO 1 0 0.0
28733		SpeedCmd C3PO 1 0 -2.0000000002611458
28819		SpeedCmd C3PO 1 0 0.0
28819		SpeedCmd C3PO 1 0 -2.0000000002611458
28819		SpeedCmd C3PO 0 0 -2.0000000002611458
28819		SpeedCmd C3PO 0 0 0.0
28819		SpeedCmd C3PO 0 0 -2.0000000002611458
28853		SpeedCmd C3PO 0 0 0.0
28853		SpeedCmd C3PO 0 0 -2.0000000002611458
28914		SpeedCmd C3PO 0 0 0.0
28914		SpeedCmd C3PO 0 0 -2.0000000002611458
28934		SpeedCmd C3PO 0 0 0.0
28934		SpeedCmd C3PO 0 0 -2.0000000002611458
29003		SpeedCmd C3PO 0 0 0.0
29004		SpeedCmd C3PO 0 0 -2.0000000002611458
29004		SpeedCmd C3PO 0 0 0.0
29143		SpeedCmd C3PO -1 0 0.0
29675		SpeedCmd C3PO -1 0 -2.0000000002611458
30275		SpeedCmd C3PO -1 0 0.0
30275		SpeedCmd C3PO -1 0 -2.0000000002611458
30361		SpeedCmd C3PO -1 0 0.0
30361		SpeedCmd C3PO -1 0 -2.0000000002611458
30361		SpeedCmd C3PO -1 0 0.0
30361		SpeedCmd C3PO -1 0 -2.0000000002611458
30395		SpeedCmd C3PO -1 0 0.0
30395		SpeedCmd C3PO -1 0 -2.0000000002611458
30434		SpeedCmd C3PO -1 0 0.0
30435		SpeedCmd C3PO -1 0 -2.0000000002611458
30475		SpeedCmd C3PO -1 0 0.0
30475		SpeedCmd C3PO -1 0 -2.0000000002611458
30563		SpeedCmd C3PO -1 0 0.0
30563		SpeedCmd C3PO -1 0 -2.0000000002611458
30563		SpeedCmd C3PO -1 0 0.0
30563		SpeedCmd C3PO -1 0 -2.0000000002611458
30595		SpeedCmd C3PO -1 0 0.0
30595		SpeedCmd C3PO -1 0 -2.0000000002611458
30635		SpeedCmd C3PO -1 0 0.0
30636		SpeedCmd C3PO -1 0 -2.0000000002611458
30675		SpeedCmd C3PO -1 0 0.0
30675		SpeedCmd C3PO -1 0 -2.0000000002611458
30736		SpeedCmd C3PO -1 0 0.0
30736		SpeedCmd C3PO -1 0 -2.0000000002611458
30756		SpeedCmd C3PO -1 0 0.0
30756		SpeedCmd C3PO -1 0 -2.0000000002611458
30796		SpeedCmd C3PO -1 0 0.0
30796		SpeedCmd C3PO -1 0 -2.0000000002611458
30854		SpeedCmd C3PO -1 0 0.0
30855		SpeedCmd C3PO -1 0 -2.0000000002611458
30875		SpeedCmd C3PO -1 0 0.0
30876		SpeedCmd C3PO -1 0 -2.0000000002611458
30953		SpeedCmd C3PO -1 0 0.0
30953		SpeedCmd C3PO -1 0 -2.0000000002611458
30959		SpeedCmd C3PO -1 0 0.0
30959		SpeedCmd C3PO -1 0 -2.0000000002611458
30999		SpeedCmd C3PO -1 0 0.0
30999		SpeedCmd C3PO -1 0 -2.0000000002611458
31046		SpeedCmd C3PO -1 0 0.0
31046		SpeedCmd C3PO -1 0 -2.0000000002611458
31079		SpeedCmd C3PO -1 0 0.0
31079		SpeedCmd C3PO -1 0 -2.0000000002611458
31175		SpeedCmd C3PO -1 0 0.0
